date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:47	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22169d5-13ca7da4870%22	https://playentry.org/lib/jquery/jquery.min.js	C:/archive/httrack/playentry/playentry.org/lib/jquery/jquery.min.js	(from https://playentry.org/)
23:27:47	228539/228539	---MCZ	200	added ('OK')	application/javascript	etag:W/%2237cbb-14589836d58%22	https://playentry.org/lib/jquery-ui/ui/minified/jquery-ui.min.js	C:/archive/httrack/playentry/playentry.org/lib/jquery-ui/ui/minified/jquery-ui.min.js	(from https://playentry.org/)
23:27:47	73015/73015	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211d37-177c0135360%22	https://playentry.org/lib/lodash/dist/lodash.min.js	C:/archive/httrack/playentry/playentry.org/lib/lodash/dist/lodash.min.js	(from https://playentry.org/)
23:27:48	151183/151183	---MCZ	200	added ('OK')	application/javascript	etag:W/%2224e8f-157b4d8ab28%22	https://playentry.org/lib/angular/angular.min.js	C:/archive/httrack/playentry/playentry.org/lib/angular/angular.min.js	(from https://playentry.org/)
23:27:48	5315/5315	---MCZ	200	added ('OK')	application/javascript	etag:W/%2214c3-1537dd06a20%22	https://playentry.org/lib/angular-local-storage/dist/angular-local-storage.min.js	C:/archive/httrack/playentry/playentry.org/lib/angular-local-storage/dist/angular-local-storage.min.js	(from https://playentry.org/)
23:27:48	1445/1445	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a5-157b4d8ab28%22	https://playentry.org/lib/angular-cookies/angular-cookies.min.js	C:/archive/httrack/playentry/playentry.org/lib/angular-cookies/angular-cookies.min.js	(from https://playentry.org/)
23:27:48	4034/4034	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fc2-157b4d8ab28%22	https://playentry.org/lib/angular-resource/angular-resource.min.js	C:/archive/httrack/playentry/playentry.org/lib/angular-resource/angular-resource.min.js	(from https://playentry.org/)
23:27:48	4526/4526	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211ae-157b4d8ab28%22	https://playentry.org/lib/angular-route/angular-route.min.js	C:/archive/httrack/playentry/playentry.org/lib/angular-route/angular-route.min.js	(from https://playentry.org/)
23:27:49	23128/23128	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a58-157b4d8af10%22	https://playentry.org/lib/angular-touch/angular-touch.js	C:/archive/httrack/playentry/playentry.org/lib/angular-touch/angular-touch.js	(from https://playentry.org/)
23:27:49	97982/97982	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217ebe-154db95b088%22	https://playentry.org/lib/angular-bootstrap/ui-bootstrap.min.js	C:/archive/httrack/playentry/playentry.org/lib/angular-bootstrap/ui-bootstrap.min.js	(from https://playentry.org/)
23:27:49	121209/121209	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d979-154db95b088%22	https://playentry.org/lib/angular-bootstrap/ui-bootstrap-tpls.min.js	C:/archive/httrack/playentry/playentry.org/lib/angular-bootstrap/ui-bootstrap-tpls.min.js	(from https://playentry.org/)
23:27:49	691206/691206	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a8c06-155cc94ed00%22	https://playentry.org/lib/react/react.js	C:/archive/httrack/playentry/playentry.org/lib/react/react.js	(from https://playentry.org/)
23:27:50	1174/1174	---MCZ	200	added ('OK')	application/javascript	etag:W/%22496-155cc94ed00%22	https://playentry.org/lib/react/react-dom.js	C:/archive/httrack/playentry/playentry.org/lib/react/react-dom.js	(from https://playentry.org/)
23:27:50	521956/521956	---MCZ	200	added ('OK')	application/javascript	etag:W/%227f6e4-177dc212640%22	https://playentry.org/js/lang/en.js?v=1615468559311	C:/archive/httrack/playentry/playentry.org/js/lang/en1b53.js	(from https://playentry.org/)
23:27:50	29097/29097	---MCZ	200	added ('OK')	application/javascript	etag:W/%2271a9-143e3fcdfc8%22	https://playentry.org/lib/bootstrap/dist/js/bootstrap.min.js	C:/archive/httrack/playentry/playentry.org/lib/bootstrap/dist/js/bootstrap.min.js	(from https://playentry.org/)
